CMST 29900,Unknown
CRES 24001,Unknown
CRES 24002,Unknown
CRES 24003,Unknown
EALC 10800,"K. Pomeranz, Autumn; Staff, Summer"
EALC 10900,"J. Ketelaar, Winter; Staff, Summer"
EALC 11000,K-H. Choi
EALC 15400,M. Bradley
GNSE 15002,Staff
GNSE 15003,Staff
HIPS 17300,R. Richards
HIPS 17400,A. Johns
HIPS 17402,"M. Rossi, A. Winter"
HIPS 17501,A. Winter
HIPS 17502,J. Evans
HIPS 17503,A. Winter
HIST 10101,E. Osborn
HIST 10102,J. Cole
HIST 13001,"C. Fasolt, J. Lyon, J. Padgett, N. Ristuccia, Staff"
HIST 13002,"J. Boyer, J. Craig, J. Goldstein, J. Lyon, N. Ristuccia, Staff"
HIST 13003,N. Ristuccia
HIST 13100,"K. Weintraub, Autumn; J. Boyer, Summer"
HIST 13200,"K. Weintraub, Winter, Summer"
HIST 13300,"K. Weintraub, Spring; Staff, Summer"
HIST 13500,"E. Cook, Staff"
HIST 13600,"J. Dailey, Staff"
HIST 13700,"M. Briones, J. Sparrow, Staff"
HIST 13900,E. Gilburd
HIST 14000,E. Gilburd
HIST 16700,"J. Hall, Staff"
HIST 16800,"C. Hawkins, Staff"
HIST 16900,W. Kaegi
JWSC 20001,R. Greenberg
JWSC 20002,S. Hammerschlag
JWSC 20003,O. Bashkin
JWSC 20004,S. Chavel
JWSC 20005,D. Schloen
JWSC 20006,N. Rokem
LACS 16100,"R. Granados-Salinas, R. Gutiérrez"
LACS 16200,M. Tenorio
LACS 16300,D. Borges
MUSI 12100,A. Robertson
MUSI 12200,Unknown
NEHC 20001,Unknown
NEHC 20002,"Johnson, Ritner, Muhs"
NEHC 20003,P. Goedegebuure
NEHC 20004,C. Woods
NEHC 20005,H. Haroutunian
NEHC 20006,B. Muhs
NEHC 30004,C. Woods
NEHC 20011,H. Haroutunian
NEHC 20012,H. Karateke
NEHC 20013,N. Moeller
NEHC 30011,H. Haroutunian
NEHC 20416,Unknown
NEHC 20417,Unknown
NEHC 20418,Unknown
NEHC 20501,C. Fleischer
NEHC 20502,J. Woods
NEHC 20503,A. Shissler
NEHC 30501,C. Fleischer
NEHC 20601,T. Qutbuddin
NEHC 20602,F. Lewis
NEHC 20603,O. Bashkin
NEHC 30601,T. Qutbuddin
NEHC 30602,F. Lewis
NEHC 30603,O. Bashkin
SALC 20100,M. Alam
SALC 20200,D. Chakrabarty
CLCV 14113,P. Crowley 
CLCV 20200,W. Kaegi
CLCV 20700,"J. Hall, Staff"
CLCV 20800,"C. Hawkins, Staff"
CLCV 20900,W. Kaegi
CLCV 21200,D. Bevington
CLCV 21415,P. Crowley
CLCV 21700,J. Hall
CLCV 21807,R. Neer
CLCV 21812,R. Neer
CLCV 22114,D. Wray
CLCV 22314,D. Durdin
CLCV 22514,L. Gardnier
CLCV 22700,A. Callard
CLCV 23514,M. Lowrie
CLCV 23915,J. Vandiver
CLCV 24113,P. Crowley 
CLCV 24115,P. Crowley
CLCV 24215,P. Crowley
CLCV 24306,W. Kaegi
CLCV 24307,W. Kaegi
CLCV 24506,C. Hawkins
CLCV 24508,C. Hawkins
CLCV 24914,C. Faraone
CLCV 25510,W. Olmsted
CLCV 25700,H. Haroutunian
CLCV 25800,H. Karateke
CLCV 25900,N. Moeller
CLCV 26514,S. Torallas Tovar
CLCV 26914,S. Torallas Tovar
CLCV 27514,A. Akavia
CLCV 27714,H. Dik
CLCV 28300,B. VanWassenhove
CLCV 29113,Staff
CLCV 29700,Unknown
CLCV 29800,Unknown
GREK 10100,Staff.
GREK 10200,Unknown
GREK 10300,Unknown
GREK 11100,H. Dik
GREK 11200,H. Dik
GREK 11300,Unknown
GREK 20100,C. Faraone
GREK 20200,H. Dik
GREK 20300,S. Nooter
GREK 21100,Unknown
GREK 21200,Unknown
GREK 21300,Unknown
GREK 21700,Unknown
GREK 21800,Unknown
GREK 21900,Unknown
GREK 22314,Unknown
GREK 22400,Sarah Nooter
GREK 22500,David Martinez
GREK 26100,D. Martinez
GREK 27100,D. Martinez
GREK 29700,Unknown
LATN 10100,E. Asmis
LATN 10200,M. Allen
LATN 10300,Unknown
LATN 11100,M. Allen
LATN 11200,P. White
LATN 11300,Unknown
LATN 20100,Unknown
LATN 20200,M. Payne
LATN 20300,M. Lowrie
LATN 21100,Unknown
LATN 21200,Unknown
LATN 21300,Unknown
LATN 21700,Unknown
LATN 21800,Unknown
LATN 21900,Unknown
LATN 22100,E. Asmis
LATN 22200,S. Bartsch-Zimmer
LATN 22300,P. White
LATN 22400,Unknown
LATN 25000,P. White
LATN 26513,C. Ando
LATN 28614,M. Nussbaum
LATN 29700,Unknown
CHDV 20000,Staff
CHDV 20100,Staff
CHDV 20101,G. Hong
CHDV 20129,R. Taub
CHDV 20150,Salikoko Mufwene
CHDV 20206,D. Kulick
CHDV 20207,M. Spencer
CHDV 20209,M. Spencer
CHDV 20304,M. Keels
CHDV 20305,M. Keels
CHDV 20400,J. Lucy
CHDV 20405,D. Kulick
CHDV 21000,R. Shweder
CHDV 21401,J. Cole
CHDV 21500,J. Mateo
CHDV 21800,D. Maestripieri
CHDV 21901,J. Lucy
CHDV 22212,"J. Cole, R. Majumdar"
CHDV 23204,E. Raikhel
CHDV 23249,"S. Pruett-Jones (even years), J. Mateo (odd years)"
CHDV 23301,E. Raikhel
CHDV 23620,J. Farquhar
CHDV 23900,S. Goldin-Meadow
CHDV 24402,S. Van Deusen Phillips
CHDV 25116,L. Jasarevic
CHDV 25120,A. Kalil
CHDV 25900,A. Woodward
CHDV 26000,W. Goldstein
CHDV 26226,D. Dugas
CHDV 26227,R. Nicholson
CHDV 26228,C. Nutter
CHDV 26232,T. Mandalaywala
CHDV 26233,C. El Ouardani
CHDV 26235,S. Van Deusen Phillips
CHDV 26303,S. Van Deusen Phillips
CHDV 26310,D. Kulick
CHDV 27317,L. Shapiro
CHDV 27700,D. Orlinsky
CHDV 27821,S. Stoelinga
CHDV 27901,John Lucy
CHDV 27902,J. Lucy
CHDV 27903,J. Lucy
CHDV 27950,D. Maestripieri
CHDV 29301,E. Fein
CHDV 29700,Unknown
CHDV 29800,Unknown
CHDV 29900,Unknown
CMLT 20500,D. Bevington
CMLT 20600,D. Bevington
CMLT 21101,Unknown
CMLT 21202,Unknown
CMLT 22301,W. Nickell
CMLT 22400,T. Gunning
CMLT 22500,T. Gunning
CMLT 23201,A. Ilieva
CMLT 23401,A. Ilieva
CMLT 23702,Unknown
CMLT 23901,A. Ilieva
CMLT 24220,F. de Armas and T. Pavel
CMLT 24250,Daniel Smyth
CMLT 24270,V. Joshua Adams
CMLT 24408,L. Kruger
CMLT 25001,A. Davidson
CMLT 25009,A. Mangalagiri
CMLT 25010,C. Patel
CMLT 25011,B. Berry
CMLT 25102,Unknown
CMLT 26014,B. Loschenkohl
CMLT 26400,A. Maggi
CMLT 26600,Unknown
CMLT 26610,T. Pavel
CMLT 26700,A. Maggi
CMLT 26701,A. Maggi
CMLT 27014,P. Iovene
CMLT 27114,David Wellbery
CMLT 27402,Unknown
CMLT 27701,A. Ilieva
CMLT 28610,F. Klinger
CMLT 28900,"E. Lyon, H. Saussy"
CMLT 29700,Unknown
CMLT 29801,Unknown
CRES 20005,E. Osborn
CRES 20206,R. Jean-Baptiste
CRES 20701,E. Osborn
CRES 20702,J. Cole
CRES 22205,S. Palmié
CRES 24201,Unknown
CRES 25701,W. Kaegi
CRES 20104,F. Stuart
CRES 21201,M. Dietler
CRES 21806,Traci Parker
CRES 21808,Toussaint Losier
CRES 22150,C. Cohen
CRES 24601,D. Hopkins
CRES 25102,T. Paschel
CRES 25405,C. Broughton
CRES 27301,A. Green
CRES 27403,T. Holt
CRES 27705,A. Green
CRES 10800,"K. Pomeranz, Autumn; Staff, Summer"
CRES 10900,"J. Ketelaar, Winter; Staff, Summer"
CRES 11000,K-H. Choi
CRES 14400,S. Burns
CRES 17602,M. Briones
CRES 21264,J. Kelly
CRES 24255,J. Eyferth
CRES 24706,S. Burns
CRES 27900,B. Cumings
CRES 16101,"R. Granados-Salinas, R. Gutiérrez"
CRES 16102,M. Tenorio
CRES 16103,D. Borges
CRES 20400,J. Lucy
CRES 21903,A. Lugo-Ortiz
CRES 22401,R. Coronado
CRES 24901,C. Broughton
CRES 25102,T. Paschel
CRES 27101,A. Melo
CRES 28000,R. Gutiérrez
CRES 29000,D. Borges
CRES 31900,A. Lugo-Ortiz
CRES 36500,E. Kouri & M. Tenorio
CRES 31800,Unknown
CRES 34501,M. Fred
CRES 34502,M. Fred
CRES 10200,M. King
CRES 20001,R. Greenberg
CRES 20002,S. Hammerschlag
CRES 20104,F. Stuart
CRES 20140,O. McRoberts
CRES 20173,M. Small
CRES 20207,M. Spencer
CRES 21807,Liping Wang
CRES 21903,A. Lugo-Ortiz
CRES 22205,S. Palmié
CRES 23410,K. Warren
CRES 23833,"C. Sullivan, S. Griffin, G. Lewis"
CRES 24001,Unknown
CRES 24002,Unknown
CRES 24003,Unknown
CRES 24913,R. Elgendy
CRES 26201,C. Cohen
CRES 26801,W. Carter
CRES 27317,L. Shapiro
CRES 27400,T. Holt
CRES 27600,Unknown
CRES 27605,A. Stanley
CRES 28703,M. Briones
